"platformgameid","teamid","side","shutdownbounty"
"ESPORTSTMNT01:3380053","99566408217955692","100","400"
"ESPORTSTMNT05:1200114","98767991853197861","200",
"ESPORTSTMNT01:1120737","98767991902391669","100",
"ESPORTSTMNT01:3082139","99566408358330419","100","100"
"ESPORTSTMNT05:3090143","107575082591536093","200","850"
"ESPORTSTMNT01:3301406","105397404796640412","200","850"
"ESPORTSTMNT03:2885695","99566406332987990","100","550"
"ESPORTSTMNT03:2005589","103461966951059521","200",
"ESPORTSTMNT03:2795500","107581296208168309","200","350"
"ESPORTSTMNT02:1105293","98926509885559666","200",
"ESPORTSTMNT03:3185904","105537149834356301","100","1300"
"ESPORTSTMNT02:2786482","105519746234964687","200","350"
"ESPORTSTMNT03:1991149","101428372598668846","100",
"ESPORTSTMNT05:2941977","106371141659311452","200","750"
"ESPORTSTMNT04:2240135","105514907449611976","100","150"
"ESPORTSTMNT03:2547417","99566404579461230","200","600"
"ESPORTSTMNT06:2190889","103963753080578719","200","1700"
"ESPORTSTMNT06:1570927","103495716836203404","200",
"ESPORTSTMNT01:3316999","109782787975510889","100","2150"
"ESPORTSTMNT06:1320690","99322214689444546","200",
"ESPORTSTMNT06:2773993","105553606349477427","200","100"
"ESPORTSTMNT06:1200079","102787200134790084","100",
"ESPORTSTMNT03:1764690","100725845018863243","100",
"ESPORTSTMNT03:2798927","105549998884468136","200","450"
"ESPORTSTMNT04:1801024","99566406065437842","100",
"ESPORTSTMNT02:3165238","99294153824386385","100","600"
"ESPORTSTMNT03:1757332","105504044166670507","200",
"ESPORTSTMNT03:3130694","109783149221216052","100","1800"
"ESPORTSTMNT04:1730152","106302119383559530","100",
"ESPORTSTMNT05:2060124","105514907449611976","100",
"ESPORTSTMNT04:1880314","102787200134790084","100",
"ESPORTSTMNT03:3197253","107582157086477662","100","1750"
"ESPORTSTMNT04:1240495","99566406069969565","100",
"ESPORTSTMNT02:1640154","104710383210356454","200",
"ESPORTSTMNT01:3399485","99566405124618295","100","600"
"ESPORTSTMNT01:1110198","99566408358330419","200",
"ESPORTSTMNT03:2637377","106269804045322803","200","1350"
"ESPORTSTMNT05:1400505","103535282140533402","100",
"ESPORTSTMNT03:1826266","101383793574360315","100",
"ESPORTSTMNT03:1811914","103461966965149786","200",
"ESPORTSTMNT02:1092552","98926509885559666","200",
"ESPORTSTMNT02:2344273","107251295460371069","200",
"ESPORTSTMNT04:2672408","102235771678061291","100","0"
"ESPORTSTMNT01:1884449","100285330168091787","100",
"ESPORTSTMNT01:1414280","103743162394217975","200",
"ESPORTSTMNT01:3381096","102141671183409133","100","1300"
"ESPORTSTMNT01:3337374","107581212180071788","100","700"
"ESPORTSTMNT02:1938181","99294153828264740","200",
"LPL_B:329320","99566404856367466","200","150"
"ESPORTSTMNT02:3170683","109668849651338559","200","1100"
"ESPORTSTMNT03:3099619","109692071893352727","200","500"
"LPL_A:342193","98767991882270868","100","0"
"ESPORTSTMNT04:2280111","102787200151698443","200","1300"
"ESPORTSTMNT03:3100477","107582157086477662","100","0"
"ESPORTSTMNT03:2920667","105504044166670507","100","950"
"ESPORTSTMNT02:3169559","107693836459380354","100","200"
"ESPORTSTMNT01:2771426","99566408561605102","100","600"
"ESPORTSTMNT03:3129819","107251295460371069","100","450"
"ESPORTSTMNT06:1061934","99871276356460471","100",
"ESPORTSTMNT01:2781964","107603548241713732","100","850"
"ESPORTSTMNT04:2200241","99566406065437842","100","550"
"ESPORTSTMNT06:1240456","104212455500985426","100",
"ESPORTSTMNT03:2635446","107700199633958891","100","950"
"ESPORTSTMNT04:1660254","102787200136756173","100",
"ESPORTSTMNT03:2893480","99566405128626825","100","350"
"ESPORTSTMNT03:1125401","99566405130451785","200",
"ESPORTSTMNT01:1882804","104710359142494900","200",
"ESPORTSTMNT01:1161934","100725845018863243","100",
"ESPORTSTMNT03:3121231","105521674055625312","100","2200"
"ESPORTSTMNT04:2685359","99566406065437842","100","1700"
"ESPORTSTMNT05:3239367","101383793572656373","200","400"
"ESPORTSTMNT02:1934634","102787200153467923","100",
"ESPORTSTMNT02:3210560","107582184905264520","100","0"
"ESPORTSTMNT05:3060708","102787200126663579","100","600"
"ESPORTSTMNT02:1085298","99566408358330419","200",
"ESPORTSTMNT04:1890456","103935446548920777","100",
"ESPORTSTMNT01:3323946","99566405123587075","100","0"
"ESPORTSTMNT01:3328379","109480056092207899","100","800"
"ESPORTSTMNT05:1831273","99566404579461230","200",
"ESPORTSTMNT03:3119045","109671193729027761","200","1300"
"ESPORTSTMNT03:2564812","99566408221961358","100","700"
"ESPORTSTMNT05:1820537","100725845022060229","200",
"ESPORTSTMNT01:2139344","100205573495116443","100",
"ESPORTSTMNT03:2893929","105503848339138647","200","1050"
"ESPORTSTMNT06:2290649","101422616509070746","200","500"
"ESPORTSTMNT03:3192255","107565477822627354","200","950"
"ESPORTSTMNT06:1880796","105520788833075738","200",
"ESPORTSTMNT01:2915882","107598699275015260","100","450"
"ESPORTSTMNT04:1971171","103461966965149786","200",
"ESPORTSTMNT03:2656210","99566405124618295","200","350"
"ESPORTSTMNT01:2145494","102787200149928963","200",
"ESPORTSTMNT02:2558003","105593951536470384","100",
"ESPORTSTMNT03:2637210","104367068120825486","200","550"
"ESPORTSTMNT03:2882290","102787200149928963","200","50"
"ESPORTSTMNT03:3128256","107580497041999074","200","0"
"ESPORTSTMNT03:1827600","99566405130451785","100",
"ESPORTSTMNT03:2713831","107598878262940546","100","0"
"ESPORTSTMNT06:2822453","98767991866488695","200","550"
"ESPORTSTMNT01:3415198","107700204561086446","200","150"
"ESPORTSTMNT05:2530727","107597875833524424","200",
"ESPORTSTMNT01:3328902","105549995617170853","200","900"
"ESPORTSTMNT05:3060445","101383793572656373","200","550"
"ESPORTSTMNT01:3325299","105550051809743868","100","950"
"ESPORTSTMNT03:2883935","105593951536470384","100","700"
"ESPORTSTMNT06:1690304","102787200151698443","200",
"ESPORTSTMNT05:3090511","99322214689444546","100","150"
"ESPORTSTMNT06:1830420","103535282146169523","100",
"ESPORTSTMNT01:1144428","100285330169036485","100",
"ESPORTSTMNT04:2300249","108203164850614211","100","1600"
"ESPORTSTMNT02:3163795","109671201259007744","100","350"
"ESPORTSTMNT03:2543154","105550036134585264","100","0"
"ESPORTSTMNT01:2137687","101978171843206569","100",
"ESPORTSTMNT01:3322864","107467834753797729","200","1900"
"ESPORTSTMNT03:3194522","98767991930907107","200","1100"
"ESPORTSTMNT03:1142556","98767991853197861","200",
"ESPORTSTMNT05:1410249","98767991949608898","100",
"ESPORTSTMNT03:1401373","99566405123587075","200",
"ESPORTSTMNT06:2531479","100205573495116443","200","50"
"ESPORTSTMNT03:2635270","103461966981927044","100","850"
"ESPORTSTMNT03:1440784","103535282124208038","100",
"ESPORTSTMNT02:3141521","107179740624168899","100","2250"
"ESPORTSTMNT03:2885040","98926509884398584","200","450"
"ESPORTSTMNT03:3200543","110534714934488523","200","300"
"ESPORTSTMNT03:2565350","104710316579222193","100","0"
"ESPORTSTMNT04:980368","99566406069969565","200",
"ESPORTSTMNT03:2007033","105550024238752685","200",
"ESPORTSTMNT04:2665208","100205573496804586","100","750"
"ESPORTSTMNT02:1394814","99566408217955692","100",
"ESPORTSTMNT01:1424270","99566406338282437","100",
"ESPORTSTMNT01:1295562","101428372600307248","200",
"ESPORTSTMNT04:1320063","103877589042434434","200",
"ESPORTSTMNT03:2820488","107700211633200412","200","0"
"ESPORTSTMNT06:1320437","99322214689444546","200",
"ESPORTSTMNT01:2982417","107581738783262346","200","150"
"ESPORTSTMNT01:2772793","107598878262940546","200","350"
"ESPORTSTMNT02:2777643","107598805167594304","200","200"
"ESPORTSTMNT05:3223066","109523293035238887","100","300"
"ESPORTSTMNT04:2669292","109523293035238887","200","50"
"ESPORTSTMNT06:1020780","101383793569248484","200",
"ESPORTSTMNT02:1291892","103461966971048042","100",
"ESPORTSTMNT02:2558581","107598651997213225","100",
"ESPORTSTMNT04:2693256","109696092218588987","100","800"
"ESPORTSTMNT04:2658202","105543843212923183","100","400"
"ESPORTSTMNT06:2190441","107597866344501908","200","1000"
"ESPORTSTMNT03:3121915","106806773698472633","100","400"
"ESPORTSTMNT03:1997014","102787200149928963","200",
"ESPORTSTMNT02:1686183","105397399468432537","200",
"ESPORTSTMNT03:3180228","107467834753797729","200","900"
"ESPORTSTMNT03:1342175","100725845018863243","200",
"ESPORTSTMNT02:1211110","103240746437786265","200",
"ESPORTSTMNT02:2578803","101428372602011186","200",
"ESPORTSTMNT01:3342605","100285330168091787","200","200"
"ESPORTSTMNT03:2071532","102787200136756173","100",
"ESPORTSTMNT03:1432296","99294153824386385","200",
"ESPORTSTMNT02:2141575","106857755268998406","200",
"ESPORTSTMNT06:2470191","98767991949608898","200","1850"
"ESPORTSTMNT05:1830712","101422616509070746","200",
"ESPORTSTMNT01:3370548","98767991921462763","200","100"
"ESPORTSTMNT01:3341009","106269859169658575","200","1150"
"ESPORTSTMNT02:3165731","101428372605353526","100","0"
"ESPORTSTMNT03:3123645","107251231972989211","200","0"
"ESPORTSTMNT01:2903330","108319257932089006","200","950"
"ESPORTSTMNT06:1840451","103535282113853330","200",
"ESPORTSTMNT02:2777701","107598712583969458","200","400"
"ESPORTSTMNT03:3092740","99566408222831088","100","0"
"ESPORTSTMNT01:2742700","103535282124208038","100","350"
"ESPORTSTMNT02:1392167","100205576307813373","200",
"ESPORTSTMNT02:1697390","105537408539332006","200",
"ESPORTSTMNT02:3159343","108078422885368642","100","750"
"ESPORTSTMNT03:2896088","104710354840711661","100","400"
"ESPORTSTMNT01:2694252","103461966971048042","100",
"ESPORTSTMNT05:2980399","103935468920814040","100","2400"
"ESPORTSTMNT02:3153139","103461966951059521","100","1350"
"ESPORTSTMNT01:2146653","105593129376630217","200",
"ESPORTSTMNT03:2890576","99566405127798575","200","950"
"ESPORTSTMNT02:1640904","105537226118106446","100",
"ESPORTSTMNT06:2210446","104710383210356454","100","650"
"ESPORTSTMNT04:2684289","107597875833524424","100","550"
"ESPORTSTMNT02:1732273","104710678170825211","100",
"ESPORTSTMNT02:3164960","107251245690956393","100","150"
"ESPORTSTMNT04:1010363","102787200134790084","100",
"ESPORTSTMNT02:1696222","100205576309502431","200",
"ESPORTSTMNT03:3120564","100205573496804586","200","300"
"ESPORTSTMNT03:3187278","105537226118106446","200","1800"
"ESPORTSTMNT01:2138199","99566408562477641","200",
"ESPORTSTMNT02:2671835","107581287168722290","200","600"
"ESPORTSTMNT03:3144019","109671201259007744","200","1250"
"ESPORTSTMNT02:3229784","105549998884468136","200","2400"
"ESPORTSTMNT01:3307967","105550042327365041","100","200"
"ESPORTSTMNT03:2894062","99566405127798575","100","2050"
"ESPORTSTMNT03:2714344","104367068120825486","100","450"
"ESPORTSTMNT03:1825130","99566405126602853","100",
"ESPORTSTMNT06:2460615","107563714667537640","200","1750"
"ESPORTSTMNT01:1882219","105521293297166647","100",
"ESPORTSTMNT06:1071514","99566404855553726","100",
"LPL_A:334778","99566404846951820","100","500"
"ESPORTSTMNT01:3381455","110534712174898632","200","150"
"ESPORTSTMNT06:2823222","110418022381234710","100","0"
"ESPORTSTMNT01:3335520","105550049871017396","200","250"
"ESPORTSTMNT04:2430154","103535282148790975","200","100"
"ESPORTSTMNT05:3221096","105520786527322647","100","300"
"ESPORTSTMNT04:1970530","101422616509070746","200",
"ESPORTSTMNT03:1532251","99566404852189289","100",
"ESPORTSTMNT05:2070690","103535282113853330","100",
"ESPORTSTMNT02:1323467","98767991921462763","100",
"ESPORTSTMNT06:1062070","98767991853197861","100",
"ESPORTSTMNT05:1830257","98767991853197861","200",
"ESPORTSTMNT06:1160134","98767991926151025","100",
"ESPORTSTMNT03:2103892","98767991930907107","200",
"ESPORTSTMNT03:1441774","99566406332987990","100",
"ESPORTSTMNT03:2792697","107423075317119707","100","0"
"ESPORTSTMNT02:2065377","103877625775457850","200",
"ESPORTSTMNT04:2240172","103877589042434434","100","850"
"ESPORTSTMNT06:2530096","103535282135552642","100","900"
"ESPORTSTMNT03:3097984","109696126554266494","200","0"
"ESPORTSTMNT05:2070136","103935468920814040","100",
"ESPORTSTMNT01:3406823","106806773698472633","100","650"
"ESPORTSTMNT05:2600041","102787200151698443","100","100"
"ESPORTSTMNT06:1880262","101383793567806688","200",
"ESPORTSTMNT02:2672727","98767991853197861","100","50"
"ESPORTSTMNT02:3045196","107700199633958891","100","250"
"ESPORTSTMNT03:2054954","104202382255290736","100",
"ESPORTSTMNT03:2631291","107580481273119961","100","1050"
"ESPORTSTMNT04:1570138","105519945593890595","200",
"ESPORTSTMNT01:1885529","99566408356697119","200",
"ESPORTSTMNT03:2920035","103535282119620510","100","550"
"ESPORTSTMNT01:2694177","105519746234964687","200",
"ESPORTSTMNT05:2990348","105550033967461806","100","200"
"ESPORTSTMNT02:1936103","103461966975897718","200",
"ESPORTSTMNT04:2684716","105520822049210915","200","50"
"ESPORTSTMNT02:2558357","105503535895066182","200",
"ESPORTSTMNT06:1840923","103495716836203404","200",
"ESPORTSTMNT04:2340034","105515219038427019","100","0"
"ESPORTSTMNT01:2915344","107581750701049485","200","750"
"ESPORTSTMNT02:3211255","103461966971048042","100","450"
"ESPORTSTMNT03:2580341","102747101565183056","100","150"
"ESPORTSTMNT01:1887390","100725845022060229","100",
"ESPORTSTMNT03:3093537","100205573496804586","100","1400"
"ESPORTSTMNT01:3323975","104841890701948065","100","50"
"ESPORTSTMNT06:1861217","101383793574360315","100",
"ESPORTSTMNT06:2531124","105550036134585264","100","800"
"ESPORTSTMNT03:3179855","99566408217116828","200","800"
"ESPORTSTMNT03:3126452","107251231972989211","200","350"
"ESPORTSTMNT01:2698350","102787200129022886","200",
"ESPORTSTMNT06:2542001","105520822049210915","200","0"
"ESPORTSTMNT03:1441716","98767991877340524","100",
"ESPORTSTMNT05:3239479","105536643047197642","200","400"
"ESPORTSTMNT02:3160389","103535282119620510","100","200"
"ESPORTSTMNT05:3060547","105521706535388095","100","1300"
"ESPORTSTMNT02:2972466","98926509892121852","200","850"
"ESPORTSTMNT03:3141381","106857761435870473","200","50"
"ESPORTSTMNT03:3092946","105550026570060790","200","50"
"ESPORTSTMNT01:2771362","99566408358330419","100","1100"
"ESPORTSTMNT03:2894732","107760667929003738","100","250"
"ESPORTSTMNT04:1800725","105515266817621145","200",
"ESPORTSTMNT02:2151818","103461966975897718","100",
"ESPORTSTMNT03:2792443","105550026570060790","200","200"
"ESPORTSTMNT01:3330724","107575082591536093","100","250"
"ESPORTSTMNT01:2984951","107581300297680248","200","1250"
"ESPORTSTMNT03:1531493","99566406334639907","100",
"ESPORTSTMNT01:2913836","107598704067400262","200","0"
"ESPORTSTMNT03:3195306","109981647134921596","100","0"
"ESPORTSTMNT04:1800435","98767991949608898","100",
"ESPORTSTMNT05:1410179","99566406064558732","100",
"ESPORTSTMNT01:3302727","99566405127798575","200","1500"
"ESPORTSTMNT05:2521087","107582176093752697","100",
"ESPORTSTMNT03:3189629","105549991104165282","200","50"
"ESPORTSTMNT06:1730628","100285330168091787","200",
"ESPORTSTMNT05:3060377","103461966965149786","100","750"
"ESPORTSTMNT03:3123100","107251245690956393","100","1050"
"ESPORTSTMNT05:3060315","105521637552587612","200","100"
"ESPORTSTMNT06:1071615","98767991853197861","200",
"ESPORTSTMNT01:2146684","105503535895066182","200",
"ESPORTSTMNT03:2920359","107700211633200412","100","150"
"ESPORTSTMNT02:1414857","100725845022060229","200",
"ESPORTSTMNT04:1970407","99566404850008779","100",
"ESPORTSTMNT03:2795619","99566404585387054","200","50"
"ESPORTSTMNT02:2576691","99566406332987990","100",
"ESPORTSTMNT03:3091513","107581287168722290","200","650"
"ESPORTSTMNT02:2664589","107423075317119707","200","350"
"ESPORTSTMNT03:1673083","103461966981927044","200",
"ESPORTSTMNT05:2942983","98926509892121852","200","50"
"ESPORTSTMNT03:2542930","106806773698472633","200","200"
"ESPORTSTMNT06:1310860","101383793574360315","100",
"ESPORTSTMNT06:2819748","109697683685398040","200","850"
"LPL_A:334361","101388912914513220","100","250"
"ESPORTSTMNT03:1755340","99566408217955692","200",
"ESPORTSTMNT03:3122736","109696115986547257","200","150"
"ESPORTSTMNT02:3167774","103877625775457850","200","0"
"ESPORTSTMNT01:1323219","99566405124618295","100",
"ESPORTSTMNT01:2146761","105593182576105603","200",
"ESPORTSTMNT02:3052853","98767991892579754","200","100"
"ESPORTSTMNT02:2779334","105519846782566525","200","850"
"ESPORTSTMNT06:1880209","101383793567806688","100",
"ESPORTSTMNT04:2170386","105521408363571548","100","1000"
"ESPORTSTMNT02:3218696","106827844148688268","100","700"
"ESPORTSTMNT05:2060344","101383793567806688","100",
"ESPORTSTMNT05:1870756","105514907449611976","200",
"ESPORTSTMNT02:2972340","106827827857159558","200","950"
"ESPORTSTMNT03:2884984","98926509883054987","200","650"
"ESPORTSTMNT03:3093289","100285330168091787","100","300"
"ESPORTSTMNT01:1132134","99566405131343995","200",
"ESPORTSTMNT04:2410614","101422616509070746","100","0"
"ESPORTSTMNT03:2793876","107598764318774383","100","0"
"ESPORTSTMNT03:1994183","105536738266035235","200",
"ESPORTSTMNT04:2693006","103935468920814040","200","150"
"ESPORTSTMNT01:3369306","106857734387052095","100","1150"
"ESPORTSTMNT03:3129590","107597870621708485","200","550"
"ESPORTSTMNT05:1440413","103535282135552642","100",
"ESPORTSTMNT03:2634798","105913232697120493","200","2450"
"ESPORTSTMNT03:2793204","105550026570060790","200","1950"
"ESPORTSTMNT04:2472255","99566408217955692","200","1500"
"ESPORTSTMNT04:2472230","100725845022060229","100","1000"
"ESPORTSTMNT05:2760147","103935642731826448","200","700"
"ESPORTSTMNT01:3301911","105550026570060790","200","50"
"ESPORTSTMNT01:2250247","102747101565183056","100",
"ESPORTSTMNT02:1937717","103461966951059521","200",
"ESPORTSTMNT03:3181861","109485335453835911","200","1050"
"ESPORTSTMNT02:3166235","107603544245460197","200","800"
"ESPORTSTMNT03:1816755","103461966975897718","100",
"ESPORTSTMNT06:1861105","102787200124959636","200",
"ESPORTSTMNT02:3144237","103461966975897718","200","0"
"ESPORTSTMNT02:2777066","107582638341246907","100","1600"
"ESPORTSTMNT06:2541914","106302593752767294","200","1200"
"ESPORTSTMNT01:3411415","109485335453835911","200","550"
"ESPORTSTMNT01:2914109","107581284487120142","200","250"
"ESPORTSTMNT01:1144314","99566406334639907","100",
"ESPORTSTMNT03:2896154","104367068120825486","100","950"
"ESPORTSTMNT04:2210503","106371141659311452","100","300"
"ESPORTSTMNT04:2668087","107416342401528388","100","750"
"ESPORTSTMNT02:3163761","106857734387052095","200","1350"
"ESPORTSTMNT03:2799920","107598878262940546","100","500"
"ESPORTSTMNT06:1550181","102787200155434012","100",
"LPL_A:332026","99566404847770461","200","150"
"ESPORTSTMNT02:2575377","107563714667537640","200",
"ESPORTSTMNT03:2794610","107582150625414483","200","550"
"ESPORTSTMNT02:2881552","105521451717484016","100","50"
"ESPORTSTMNT02:2065135","98767991853197861","200",
"ESPORTSTMNT05:1821858","105593161016793151","200",
"ESPORTSTMNT02:3218220","98767991853197861","100","0"
"ESPORTSTMNT02:1114803","99294153826603341","200",
"ESPORTSTMNT01:3341362","109485335453835911","100","0"
"ESPORTSTMNT02:1723568","105549988405523871","100",
"ESPORTSTMNT06:2210727","103535282158162659","100","750"
"ESPORTSTMNT02:2777039","107582598621022934","200","1250"
"ESPORTSTMNT02:1735317","102787200120306562","100",
"ESPORTSTMNT01:3316534","105594135137147298","200","1050"
"ESPORTSTMNT02:3221300","99566404581868574","200","300"
"ESPORTSTMNT03:2562539","99566406490127625","100","0"
"ESPORTSTMNT01:1121458","100783238110621058","200",
"ESPORTSTMNT03:1681511","99566404585387054","100",
"ESPORTSTMNT02:2577202","105550026570060790","200",
"ESPORTSTMNT06:2542281","103935530333072898","100","200"
"ESPORTSTMNT03:3199143","106269859169658575","100","900"
"ESPORTSTMNT06:2290281","105536643047197642","200","500"
"ESPORTSTMNT03:2792936","105549988405523871","200","1000"
"ESPORTSTMNT01:2137679","99566408217955692","100",
"ESPORTSTMNT03:1994706","100205573495116443","200",
"ESPORTSTMNT04:2220384","105520786527322647","100","200"
"ESPORTSTMNT01:3393607","109783149221216052","100","500"
"ESPORTSTMNT01:3336144","99566408562477641","100","1750"
"ESPORTSTMNT02:2884810","106269859169658575","200","300"
"ESPORTSTMNT06:2542294","103877675241047720","100","1050"
"ESPORTSTMNT03:2001074","99294153824386385","200",
"ESPORTSTMNT03:3124374","105593951536470384","200","0"
"ESPORTSTMNT03:1411500","99294153824386385","200",
"ESPORTSTMNT03:2562433","98767991877340524","200","250"
"ESPORTSTMNT03:2568648","107603544245460197","200","300"
"ESPORTSTMNT03:2799822","107416483509696259","200","800"
"ESPORTSTMNT01:3385641","105593182576105603","100","850"
"ESPORTSTMNT01:2800105","105594135137147298","100","500"
"ESPORTSTMNT02:2076062","98767991897792379","100",
"ESPORTSTMNT04:1880277","106301891501674861","200",
"ESPORTSTMNT02:2064677","103877554248683116","200",
"ESPORTSTMNT01:3404220","99566408222831088","200","0"
"ESPORTSTMNT03:2561100","103461966975897718","100","900"
"ESPORTSTMNT03:1752994","105537149834356301","100",
"ESPORTSTMNT06:1570822","105503948999800557","100",
"ESPORTSTMNT02:2076346","100205573496804586","100",
"ESPORTSTMNT04:1480405","105520713962793016","100",
"ESPORTSTMNT02:2785660","105537226118106446","200","300"
"ESPORTSTMNT06:1180992","102787200120306562","100",
"ESPORTSTMNT02:1391665","99566405123587075","200",
"ESPORTSTMNT04:2685106","108403526900459473","200","150"
"ESPORTSTMNT03:3170167","99566404581868574","100","200"
"ESPORTSTMNT01:3410675","105549993449477104","100","0"
"ESPORTSTMNT05:1180640","101383793567806688","200",
"ESPORTSTMNT01:2240344","106827823550343961","200",
"ESPORTSTMNT02:2577386","105536738266035235","200",
"ESPORTSTMNT06:2541974","100205573495116443","200","0"
"ESPORTSTMNT03:2788063","107423109717243380","100","50"
"ESPORTSTMNT03:2884198","106269859169658575","100","450"
"ESPORTSTMNT02:2964167","103535282124208038","200","900"
"ESPORTSTMNT06:2818767","110425005562048945","100","350"
"ESPORTSTMNT02:2554281","105594163014588871","100",
"ESPORTSTMNT03:3188183","98767991954244555","200","1650"
"ESPORTSTMNT06:1031363","99322214695067838","200",
"ESPORTSTMNT01:1131604","100205573496804586","200",
"ESPORTSTMNT01:2695541","100205573496804586","200",
"ESPORTSTMNT06:2290567","103878020539746273","100","900"
"ESPORTSTMNT06:1180768","103535282135552642","100",
"ESPORTSTMNT01:3380627","103461966971048042","200","1750"
"ESPORTSTMNT03:1762813","102787200136756173","200",
"ESPORTSTMNT02:1694795","105503535895066182","100",
"ESPORTSTMNT02:1393350","99566404579461230","100",
"ESPORTSTMNT06:2822222","105521637552587612","100","300"
"ESPORTSTMNT01:2966183","107582150625414483","200","300"
"ESPORTSTMNT06:2340478","108203169709977541","200","1000"
"ESPORTSTMNT02:3214430","99566404585387054","100","150"
"ESPORTSTMNT04:2689598","105520796734358045","100","0"
"ESPORTSTMNT04:1660583","105532791598779236","100",
"ESPORTSTMNT06:1041066","99322214689444546","200",
"ESPORTSTMNT01:3000017","107581284487120142","100","1250"
"ESPORTSTMNT02:3208994","98767991860392497","200","1200"
"ESPORTSTMNT01:3315598","107422385694193066","200","500"
"ESPORTSTMNT02:2573159","105521504308341229","200",
"ESPORTSTMNT04:2431171","105521408363571548","200","700"
"ESPORTSTMNT02:3217961","100205573495116443","200","0"
"ESPORTSTMNT02:2150625","99566405127798575","100",
"ESPORTSTMNT05:3060680","105536918475957734","200","1550"
"ESPORTSTMNT02:2776520","107581212180071788","100","50"
"ESPORTSTMNT03:3189815","102787200129022886","100","50"
"ESPORTSTMNT06:2290649","102235771678061291","100","650"
"LPL_B:328033","99566404854685458","200","400"
"ESPORTSTMNT03:2549570","107598788926820994","100","300"
"ESPORTSTMNT03:3124594","101428372602011186","100","550"
"ESPORTSTMNT01:3367920","107582157086477662","200","550"
"ESPORTSTMNT04:2683407","102235771678061291","200","2050"
"ESPORTSTMNT05:3090741","105536918475957734","100","1450"
"ESPORTSTMNT01:2690906","107423075317119707","200",
"ESPORTSTMNT02:2830317","107598878262940546","100","150"
"ESPORTSTMNT03:3200621","107760667929003738","200","700"
"ESPORTSTMNT03:3167447","108078422885368642","200","800"
"ESPORTSTMNT02:2671720","107423083507599175","100","800"
"ESPORTSTMNT01:2905114","105521451717484016","100","0"
"ESPORTSTMNT03:2886224","106827765448944398","100","0"
"ESPORTSTMNT02:2662032","105550047979361273","200","1850"
"ESPORTSTMNT02:2064220","105521637552587612","100",
"ESPORTSTMNT06:1300369","99566406070802758","100",
"ESPORTSTMNT03:2796184","99566405126602853","200","1150"
"ESPORTSTMNT01:3374926","107467803833323099","100","1200"
"ESPORTSTMNT03:3180894","110428362822825796","100","450"
"ESPORTSTMNT03:3181372","103461966971048042","200","1050"
"ESPORTSTMNT03:1430732","99566406338282437","200",
"ESPORTSTMNT02:2553847","105550003470349739","200",
"ESPORTSTMNT03:3093475","107598982142057588","200","250"
"ESPORTSTMNT05:2560517","103935446548920777","200","1450"
"ESPORTSTMNT01:1893342","105593213115128994","100",
"ESPORTSTMNT02:3218931","106269859169658575","100","950"
"ESPORTSTMNT05:2060330","101383793574360315","100",
"ESPORTSTMNT02:2210086","99566405124618295","200",
"ESPORTSTMNT01:2800544","107575082591536093","100","0"
"ESPORTSTMNT05:2980777","108361552741927561","100","1250"
"ESPORTSTMNT01:3322951","103461966981927044","100","1300"
"ESPORTSTMNT01:1895866","103877589042434434","100",
"ESPORTSTMNT03:3087334","105550024238752685","200","0"
"ESPORTSTMNT03:1996200","98767991853197861","200",
"ESPORTSTMNT03:2093992","99322214684939974","200",
"ESPORTSTMNT06:1170225","99322214689444546","200",
"ESPORTSTMNT03:3182339","107467803833323099","200","2250"
"ESPORTSTMNT03:3101557","109692074894483834","200","400"
"ESPORTSTMNT03:2094056","98767991860392497","100",
"LPL_A:342601","99566404852189289","100","0"
"ESPORTSTMNT06:1881300","99566406066182955","100",
"ESPORTSTMNT06:1031097","99566405125435312","100",
"ESPORTSTMNT02:3217192","108361552741927561","100","850"
"ESPORTSTMNT02:1330891","101383792887446028","100",
"ESPORTSTMNT05:3090325","105521408363571548","200","0"
"ESPORTSTMNT02:1938621","99566406332987990","100",
"ESPORTSTMNT02:3154507","105550036134585264","100","1050"
"ESPORTSTMNT05:2760587","105553606349477427","100","450"
"ESPORTSTMNT01:2135172","105521674055625312","100",
"ESPORTSTMNT03:1114604","101428372600307248","100",
"LPL_A:337043","99566404848691211","100","300"
"ESPORTSTMNT06:2769341","107597870621708485","200","500"
"ESPORTSTMNT01:3309887","109783164711873455","200","0"
"ESPORTSTMNT05:1210063","99322214695067838","200",
"ESPORTSTMNT01:2572869","107251245690956393","100",
"ESPORTSTMNT02:1686301","98926509885559666","100",
"ESPORTSTMNT01:1883099","99566404579461230","100",
"ESPORTSTMNT06:2774336","105514907449611976","100","100"
"ESPORTSTMNT01:2139123","99566404581868574","200",
"ESPORTSTMNT03:3092927","98767991921462763","200","1350"
"ESPORTSTMNT03:2636108","106269804045322803","200","550"
"ESPORTSTMNT01:1432354","99566408219409348","100",
"ESPORTSTMNT03:1995017","105593161016793151","100",
"ESPORTSTMNT04:2669380","103495716886587312","100","350"
"ESPORTSTMNT01:3398713","107565477822627354","200","700"
"ESPORTSTMNT05:1820981","105520077508552574","100",
"ESPORTSTMNT05:1520161","103495716886587312","100",
"ESPORTSTMNT02:2671490","107603548241713732","200","250"
"ESPORTSTMNT01:3335473","109676337359108345","200","400"
"ESPORTSTMNT05:1430756","99566405130451785","200",
"ESPORTSTMNT02:1101662","99871276356460471","200",
"ESPORTSTMNT06:2774722","109539776003058530","100","50"
