"platformgameid","blue_kills","red_kills"
"ESPORTSTMNT05:1540400","4","19"
"ESPORTSTMNT05:3223371","20","13"
"ESPORTSTMNT04:2411139","24","31"
"ESPORTSTMNT01:2800086","11","25"
"ESPORTSTMNT01:3300430","25","15"
"ESPORTSTMNT05:3222286","17","10"
"ESPORTSTMNT02:2670260","6","12"
"ESPORTSTMNT02:3158304","27","11"
"ESPORTSTMNT01:2250470","24","13"
"ESPORTSTMNT06:1070359","12","16"
"ESPORTSTMNT03:1119142","22","7"
"ESPORTSTMNT02:2972645","21","2"
"ESPORTSTMNT01:1884446","9","25"
"ESPORTSTMNT02:3220910","12","11"
"ESPORTSTMNT03:3099434","23","22"
"ESPORTSTMNT03:2785620","21","21"
"ESPORTSTMNT01:3296602","13","5"
"ESPORTSTMNT03:2055230","16","24"
"ESPORTSTMNT04:2685390","15","30"
"ESPORTSTMNT02:3220413","9","1"
"ESPORTSTMNT03:1531439","19","8"
"ESPORTSTMNT02:3210497","18","9"
"ESPORTSTMNT05:3060513","20","4"
"ESPORTSTMNT04:2679171","20","8"
"ESPORTSTMNT06:2774311","21","9"
"ESPORTSTMNT01:3332528","14","5"
"ESPORTSTMNT01:3401362","21","6"
"ESPORTSTMNT01:2810451","11","18"
"ESPORTSTMNT04:2471133","19","1"
"ESPORTSTMNT02:2883247","14","20"
"ESPORTSTMNT01:2696199","20","13"
"ESPORTSTMNT02:1391723","14","4"
"ESPORTSTMNT03:1766813","15","13"
"ESPORTSTMNT03:2541745","8","16"
"ESPORTSTMNT05:1822041","7","14"
"ESPORTSTMNT02:3160023","17","8"
"ESPORTSTMNT03:2885139","16","7"
"ESPORTSTMNT02:1686208","11","27"
"ESPORTSTMNT02:2060879","8","19"
"ESPORTSTMNT03:2561048","24","14"
"ESPORTSTMNT01:2780338","6","17"
"ESPORTSTMNT03:3100009","9","0"
"ESPORTSTMNT03:3165605","14","18"
"ESPORTSTMNT03:2794729","18","17"
"ESPORTSTMNT01:1731319","25","5"
"ESPORTSTMNT05:2580235","23","29"
"ESPORTSTMNT05:2980538","22","13"
"ESPORTSTMNT04:1810266","9","8"
"ESPORTSTMNT03:2799920","11","16"
"ESPORTSTMNT04:2451749","12","15"
"ESPORTSTMNT03:2569614","21","23"
"ESPORTSTMNT05:3219477","21","15"
"ESPORTSTMNT01:3086333","9","15"
"ESPORTSTMNT01:2132242","17","20"
"ESPORTSTMNT04:2431271","14","3"
"ESPORTSTMNT02:2663618","5","15"
"ESPORTSTMNT03:3191802","16","26"
"ESPORTSTMNT04:2683954","5","15"
"ESPORTSTMNT06:2819470","13","10"
"ESPORTSTMNT04:2672234","13","3"
"ESPORTSTMNT01:3317824","17","6"
"ESPORTSTMNT04:1220749","8","0"
"ESPORTSTMNT05:2990858","19","28"
"ESPORTSTMNT06:2531319","10","14"
"ESPORTSTMNT06:1570294","27","6"
"ESPORTSTMNT03:2545552","9","11"
"ESPORTSTMNT06:2541645","13","8"
"ESPORTSTMNT01:3330335","18","5"
"ESPORTSTMNT06:2460668","13","8"
"ESPORTSTMNT03:2930608","17","1"
"ESPORTSTMNT03:1143975","4","17"
"ESPORTSTMNT04:2450333","22","8"
"ESPORTSTMNT03:3099450","3","18"
"ESPORTSTMNT06:2470031","10","19"
"ESPORTSTMNT02:1696475","22","6"
"ESPORTSTMNT03:2654180","17","10"
"ESPORTSTMNT03:3184735","15","13"
"ESPORTSTMNT02:2776497","10","15"
"ESPORTSTMNT04:2691261","20","8"
"ESPORTSTMNT03:1757911","5","19"
"ESPORTSTMNT05:2520321","7","14"
"ESPORTSTMNT01:3385476","14","2"
"ESPORTSTMNT01:3092235","20","6"
"ESPORTSTMNT03:2793174","22","10"
"ESPORTSTMNT02:1092062","9","13"
"ESPORTSTMNT02:1735176","13","20"
"ESPORTSTMNT02:2556246","25","36"
"ESPORTSTMNT02:2963763","11","26"
"ESPORTSTMNT01:2861009","20","13"
"ESPORTSTMNT06:2460365","9","16"
"ESPORTSTMNT06:2510035","6","23"
"ESPORTSTMNT05:2980315","10","23"
"ESPORTSTMNT06:1880435","9","9"
"ESPORTSTMNT01:3334019","20","5"
"ESPORTSTMNT01:2210455","11","9"
"ESPORTSTMNT06:2818109","22","6"
"ESPORTSTMNT05:2670500","13","31"
"ESPORTSTMNT05:1822154","32","10"
"ESPORTSTMNT03:2890852","34","30"
"ESPORTSTMNT06:1300745","28","6"
"ESPORTSTMNT03:2564704","17","11"
"ESPORTSTMNT05:2560125","20","6"
"ESPORTSTMNT06:2540974","12","3"
"ESPORTSTMNT02:2670764","9","15"
"ESPORTSTMNT04:1230325","12","5"
"ESPORTSTMNT01:3379805","5","23"
"ESPORTSTMNT03:1127421","8","27"
"ESPORTSTMNT01:2147840","16","5"
"ESPORTSTMNT01:2780809","22","12"
"ESPORTSTMNT03:2052455","33","16"
"ESPORTSTMNT02:2575048","14","6"
"ESPORTSTMNT01:2141772","15","1"
"ESPORTSTMNT06:1840311","21","10"
"ESPORTSTMNT06:2820564","30","10"
"LPL_A:342574","10","2"
"ESPORTSTMNT05:1870380","17","6"
"ESPORTSTMNT03:1432061","16","26"
"ESPORTSTMNT03:1752939","15","6"
"ESPORTSTMNT06:2210651","14","4"
"ESPORTSTMNT03:2092587","16","6"
"ESPORTSTMNT04:2230135","8","22"
"ESPORTSTMNT06:1060784","21","9"
"ESPORTSTMNT06:2290503","6","20"
"ESPORTSTMNT05:1831377","24","10"
"ESPORTSTMNT02:2064246","12","28"
"ESPORTSTMNT03:2789212","12","22"
"ESPORTSTMNT01:2966070","17","9"
"ESPORTSTMNT06:1570343","5","21"
"ESPORTSTMNT01:3329406","13","21"
"ESPORTSTMNT02:2840804","24","6"
"ESPORTSTMNT01:3312295","22","10"
"ESPORTSTMNT02:1686830","14","4"
"ESPORTSTMNT03:2798971","24","25"
"ESPORTSTMNT03:2053227","21","13"
"ESPORTSTMNT01:2030178","22","10"
"ESPORTSTMNT02:3162584","23","11"
"ESPORTSTMNT02:2810204","23","4"
"ESPORTSTMNT03:1812827","24","17"
"ESPORTSTMNT01:3370821","6","14"
"ESPORTSTMNT01:1144523","26","14"
"ESPORTSTMNT06:1861217","2","20"
"ESPORTSTMNT01:1692969","11","4"
"ESPORTSTMNT02:2064677","24","8"
"ESPORTSTMNT01:3334728","19","16"
"ESPORTSTMNT02:3208994","17","13"
"ESPORTSTMNT06:1070922","2","13"
"ESPORTSTMNT02:3225763","17","12"
"ESPORTSTMNT05:2980318","12","0"
"ESPORTSTMNT02:3212243","18","8"
"ESPORTSTMNT05:3220129","25","11"
"ESPORTSTMNT05:3220119","5","20"
"ESPORTSTMNT01:1694062","16","3"
"ESPORTSTMNT06:1020393","11","16"
"ESPORTSTMNT02:2775906","21","13"
"ESPORTSTMNT05:1821344","3","13"
"ESPORTSTMNT02:2067551","5","10"
"ESPORTSTMNT05:2520822","4","17"
"ESPORTSTMNT03:1751225","11","19"
"ESPORTSTMNT01:3409713","24","15"
"ESPORTSTMNT04:2688241","16","7"
"ESPORTSTMNT02:1270607","8","21"
"ESPORTSTMNT01:1881279","7","16"
"ESPORTSTMNT05:3223144","12","18"
"ESPORTSTMNT02:2555509","19","8"
"ESPORTSTMNT01:2148498","3","16"
"ESPORTSTMNT04:1660209","8","15"
"ESPORTSTMNT01:3339186","12","0"
"ESPORTSTMNT05:1430768","23","11"
"ESPORTSTMNT02:3218509","19","27"
"LPL_A:334118","9","19"
"LPL_A:330306","20","6"
"ESPORTSTMNT06:2773422","3","17"
"ESPORTSTMNT03:3092995","22","14"
"ESPORTSTMNT01:2148936","21","7"
"ESPORTSTMNT02:2781540","4","23"
"ESPORTSTMNT03:1442164","31","22"
"ESPORTSTMNT03:2894079","7","21"
"ESPORTSTMNT04:2170183","18","19"
"ESPORTSTMNT03:3086700","20","20"
"ESPORTSTMNT06:2460353","20","3"
"ESPORTSTMNT01:3311569","12","5"
"ESPORTSTMNT05:2943077","16","10"
"ESPORTSTMNT05:2951728","13","14"
"ESPORTSTMNT04:1600017","25","6"
"ESPORTSTMNT01:2240529","24","22"
"ESPORTSTMNT02:2558150","13","6"
"ESPORTSTMNT03:2103763","17","6"
"ESPORTSTMNT03:2713067","28","10"
"ESPORTSTMNT01:3394388","9","16"
"ESPORTSTMNT04:2661065","3","12"
"ESPORTSTMNT05:1860965","12","4"
"ESPORTSTMNT01:3080897","20","10"
"ESPORTSTMNT02:1733033","11","15"
"ESPORTSTMNT04:2471498","19","8"
"ESPORTSTMNT03:2001495","11","14"
"LPL_A:330739","10","6"
"ESPORTSTMNT04:1800392","10","21"
"ESPORTSTMNT02:2913490","17","11"
"ESPORTSTMNT05:2070136","19","20"
"ESPORTSTMNT03:3092539","25","15"
"ESPORTSTMNT03:2655151","21","20"
"ESPORTSTMNT02:1695631","27","13"
"ESPORTSTMNT05:1832035","1","21"
"ESPORTSTMNT01:1134013","18","9"
"ESPORTSTMNT01:3405606","3","21"
"ESPORTSTMNT02:2062096","13","0"
"ESPORTSTMNT02:3228679","13","4"
"ESPORTSTMNT06:1830864","23","6"
"ESPORTSTMNT06:2210670","20","17"
"ESPORTSTMNT04:990638","15","18"
"ESPORTSTMNT02:1095566","26","19"
"ESPORTSTMNT05:1970718","2","20"
"ESPORTSTMNT06:2190183","19","16"
"ESPORTSTMNT01:2240125","17","4"
"ESPORTSTMNT01:2903330","30","8"
"ESPORTSTMNT04:1960555","4","17"
"ESPORTSTMNT01:2145559","27","7"
"ESPORTSTMNT02:2915214","9","12"
"ESPORTSTMNT02:3161887","23","8"
"ESPORTSTMNT03:1321216","15","6"
"ESPORTSTMNT05:3220333","8","23"
"ESPORTSTMNT02:3142305","10","17"
"ESPORTSTMNT06:1040800","12","31"
"ESPORTSTMNT01:3302900","2","19"
"ESPORTSTMNT03:3181455","5","19"
"ESPORTSTMNT03:2071513","20","11"
"ESPORTSTMNT01:3304214","7","19"
"ESPORTSTMNT02:2140682","9","14"
"ESPORTSTMNT03:2636764","6","18"
"ESPORTSTMNT01:2915882","22","5"
"ESPORTSTMNT02:2810379","5","21"
"ESPORTSTMNT03:3198296","2","15"
"ESPORTSTMNT01:2692497","18","4"
"ESPORTSTMNT06:1170089","14","25"
"ESPORTSTMNT01:3391381","12","5"
"ESPORTSTMNT02:2555507","11","16"
"ESPORTSTMNT01:1142252","23","10"
"ESPORTSTMNT03:2093859","20","11"
"ESPORTSTMNT03:1823164","15","7"
"ESPORTSTMNT05:1400204","6","16"
"ESPORTSTMNT01:2782487","17","24"
"ESPORTSTMNT03:2569151","7","22"
"ESPORTSTMNT02:1694749","22","27"
"ESPORTSTMNT03:3195090","8","13"
"ESPORTSTMNT02:2781601","23","6"
"ESPORTSTMNT02:1286736","3","14"
"ESPORTSTMNT01:2706474","14","25"
"ESPORTSTMNT03:3167810","19","16"
"ESPORTSTMNT02:2972018","13","17"
"ESPORTSTMNT01:3339740","16","5"
"ESPORTSTMNT05:2600069","23","7"
"ESPORTSTMNT02:2973249","6","16"
"ESPORTSTMNT04:980803","16","10"
"ESPORTSTMNT02:1111951","17","20"
"ESPORTSTMNT05:3060718","17","2"
"ESPORTSTMNT01:2983247","12","9"
"ESPORTSTMNT02:3217738","19","2"
"ESPORTSTMNT03:2799040","19","10"
"ESPORTSTMNT01:1895911","11","22"
"ESPORTSTMNT03:1334248","7","17"
"ESPORTSTMNT02:1736240","14","4"
"ESPORTSTMNT06:2823288","13","15"
"ESPORTSTMNT03:2567303","15","7"
"ESPORTSTMNT02:3080864","15","5"
"ESPORTSTMNT05:2060194","20","7"
"ESPORTSTMNT06:2290514","4","21"
"ESPORTSTMNT02:2884306","20","11"
"ESPORTSTMNT06:1881193","26","5"
"ESPORTSTMNT03:1441062","21","12"
"ESPORTSTMNT01:3341415","3","16"
"ESPORTSTMNT04:1961428","7","17"
"ESPORTSTMNT04:2664219","12","2"
"ESPORTSTMNT03:2894092","11","19"
"ESPORTSTMNT01:3319316","14","9"
"ESPORTSTMNT06:1320738","17","4"
"LPL_B:330039","3","20"
"ESPORTSTMNT03:1335844","12","1"
"ESPORTSTMNT06:1840266","3","17"
"ESPORTSTMNT03:1442035","11","3"
"ESPORTSTMNT01:3393609","14","16"
"ESPORTSTMNT03:2101774","13","20"
"ESPORTSTMNT05:3060337","13","11"
"ESPORTSTMNT02:3148631","2","9"
"ESPORTSTMNT01:3386190","23","2"
"ESPORTSTMNT03:1127543","14","6"
"ESPORTSTMNT04:2683217","12","1"
"ESPORTSTMNT01:3310938","12","3"
"ESPORTSTMNT03:3129401","17","8"
"ESPORTSTMNT04:2689389","10","22"
"ESPORTSTMNT01:2770511","20","12"
"ESPORTSTMNT02:2063243","26","21"
"ESPORTSTMNT02:2663114","20","23"
"ESPORTSTMNT02:1937740","5","19"
"ESPORTSTMNT04:1230782","17","2"
"ESPORTSTMNT02:3217312","10","4"
"ESPORTSTMNT03:3124594","6","17"
"ESPORTSTMNT05:2952139","16","10"
"ESPORTSTMNT02:1721438","16","4"
"ESPORTSTMNT04:2669292","12","4"
"ESPORTSTMNT06:2211042","12","25"
"ESPORTSTMNT06:2580500","17","6"
"ESPORTSTMNT03:2093856","17","5"
"ESPORTSTMNT01:2743231","12","15"
"ESPORTSTMNT01:3370824","6","18"
"ESPORTSTMNT02:1323478","12","3"
"ESPORTSTMNT05:1540458","10","20"
"ESPORTSTMNT02:3213419","14","4"
"ESPORTSTMNT01:3082773","9","12"
"ESPORTSTMNT01:1313839","3","19"
"ESPORTSTMNT01:1723581","20","6"
"ESPORTSTMNT01:2732944","12","25"
"ESPORTSTMNT03:1331951","20","5"
"ESPORTSTMNT01:3297964","7","11"
"ESPORTSTMNT01:3317838","20","7"
"ESPORTSTMNT01:1156653","10","2"
"ESPORTSTMNT02:1732348","4","11"
"ESPORTSTMNT01:2782376","13","21"
"ESPORTSTMNT03:3198268","17","25"
"ESPORTSTMNT02:2661533","24","5"
"ESPORTSTMNT03:2545224","19","19"
"ESPORTSTMNT06:2210669","1","21"
"ESPORTSTMNT02:2789825","14","11"
"ESPORTSTMNT03:1414350","14","5"
"ESPORTSTMNT02:3166214","8","24"
"ESPORTSTMNT06:2580459","7","28"
"ESPORTSTMNT02:2663281","3","23"
"ESPORTSTMNT02:1760500","24","12"
"ESPORTSTMNT03:2070855","19","29"
"ESPORTSTMNT05:2980248","12","5"
"ESPORTSTMNT02:2141584","8","24"
"ESPORTSTMNT03:2795325","20","16"
"ESPORTSTMNT02:2557476","20","12"
"ESPORTSTMNT05:2521078","18","2"
"ESPORTSTMNT01:3311809","13","20"
"ESPORTSTMNT03:3086305","2","14"
"ESPORTSTMNT01:3417138","4","19"
"ESPORTSTMNT03:2653848","18","11"
"ESPORTSTMNT04:2411522","6","12"
"ESPORTSTMNT02:2076346","20","7"
"ESPORTSTMNT01:3383140","6","18"
"ESPORTSTMNT05:3221193","23","21"
"ESPORTSTMNT01:2913857","16","13"
"ESPORTSTMNT04:2470186","16","9"
"ESPORTSTMNT03:2788014","4","18"
"ESPORTSTMNT02:1937717","17","24"
"ESPORTSTMNT05:3219533","10","20"
"ESPORTSTMNT01:1432114","9","14"
"ESPORTSTMNT03:3120784","16","23"
"ESPORTSTMNT01:3322654","20","15"
"ESPORTSTMNT03:2796873","16","9"
"ESPORTSTMNT01:3404895","15","24"
"ESPORTSTMNT03:1144028","18","10"
"ESPORTSTMNT03:3157381","13","2"
"ESPORTSTMNT01:1151693","6","10"
"ESPORTSTMNT03:3102179","5","22"
"ESPORTSTMNT05:2980175","26","8"
"ESPORTSTMNT06:2532415","12","21"
"ESPORTSTMNT06:1320688","9","21"
"ESPORTSTMNT05:3223027","14","6"
"ESPORTSTMNT04:2686175","6","4"
"ESPORTSTMNT05:2060549","20","46"
"ESPORTSTMNT04:2090342","15","8"
"ESPORTSTMNT02:2075406","11","19"
"ESPORTSTMNT06:2541470","16","2"
"ESPORTSTMNT01:3300492","19","2"
"ESPORTSTMNT03:2795223","12","15"
"ESPORTSTMNT02:2552248","14","2"
"ESPORTSTMNT01:3414858","13","4"
"ESPORTSTMNT01:3335678","16","0"
"ESPORTSTMNT05:2952960","15","19"
"ESPORTSTMNT01:3402369","9","27"
"ESPORTSTMNT03:3130557","8","26"
"ESPORTSTMNT01:2250466","10","14"
"ESPORTSTMNT01:2743641","6","24"
"ESPORTSTMNT04:1730231","3","19"
"ESPORTSTMNT02:2972890","16","10"
"ESPORTSTMNT03:2130176","15","3"
"ESPORTSTMNT02:1732963","15","21"
"ESPORTSTMNT03:3195353","21","7"
"ESPORTSTMNT01:3381735","12","3"
"ESPORTSTMNT01:3333811","23","16"
"ESPORTSTMNT06:1720577","6","18"
"ESPORTSTMNT02:1093310","13","5"
"ESPORTSTMNT01:1895318","11","8"
"ESPORTSTMNT01:3404343","12","22"
"LPL_A:332042","22","6"
"ESPORTSTMNT01:1414076","12","0"
"ESPORTSTMNT04:2470116","4","17"
"ESPORTSTMNT01:2694943","6","26"
"ESPORTSTMNT03:2654228","17","13"
"ESPORTSTMNT02:2775849","20","11"
"ESPORTSTMNT03:2795043","6","19"
"ESPORTSTMNT03:2071498","9","22"
"ESPORTSTMNT01:2694214","9","18"
"ESPORTSTMNT06:2211070","15","4"
"ESPORTSTMNT04:2471895","13","2"
"ESPORTSTMNT01:2744022","2","17"
"ESPORTSTMNT01:1892556","8","26"
"ESPORTSTMNT03:3093537","10","20"
"ESPORTSTMNT01:3418246","21","12"
"ESPORTSTMNT05:3060388","25","18"
"ESPORTSTMNT03:1993453","22","17"
"ESPORTSTMNT01:1434787","7","4"
"ESPORTSTMNT02:2973549","18","5"
"ESPORTSTMNT04:1120583","12","5"
"ESPORTSTMNT03:2052576","18","20"
"ESPORTSTMNT03:3120564","12","3"
"ESPORTSTMNT05:3090130","9","27"
"ESPORTSTMNT01:2693537","7","15"
"ESPORTSTMNT03:1755340","9","26"
"ESPORTSTMNT06:2823385","22","15"
"ESPORTSTMNT04:2689542","13","6"
"ESPORTSTMNT06:1250411","21","7"
"ESPORTSTMNT03:3089445","15","5"
"ESPORTSTMNT04:2684240","17","10"
"ESPORTSTMNT06:2470582","7","21"
"ESPORTSTMNT02:1092418","11","15"
"ESPORTSTMNT03:2101809","17","4"
"ESPORTSTMNT03:2789913","18","8"
"ESPORTSTMNT05:2521091","3","12"
"ESPORTSTMNT02:2672727","16","4"
"ESPORTSTMNT05:1870358","7","21"
"ESPORTSTMNT02:3169392","17","14"
"ESPORTSTMNT05:1440598","23","15"
"ESPORTSTMNT02:2820132","12","4"
"ESPORTSTMNT02:3233130","25","9"
"ESPORTSTMNT03:3144367","36","21"
"ESPORTSTMNT03:2920412","20","6"
"ESPORTSTMNT02:3169650","4","16"
"ESPORTSTMNT01:3343164","3","10"
"ESPORTSTMNT01:3380253","2","15"
"ESPORTSTMNT03:3119904","2","21"
"ESPORTSTMNT06:2500165","23","10"
"ESPORTSTMNT02:3218876","11","2"
"ESPORTSTMNT03:3126804","14","4"
"ESPORTSTMNT02:1101274","4","13"
"ESPORTSTMNT02:3189528","3","18"
"ESPORTSTMNT01:1432427","13","18"
"ESPORTSTMNT01:3317943","20","8"
"ESPORTSTMNT02:3153139","23","12"
"ESPORTSTMNT02:1086837","4","15"
"ESPORTSTMNT01:1131423","10","3"
"ESPORTSTMNT04:2659018","20","4"
"ESPORTSTMNT01:2982345","25","5"
"ESPORTSTMNT04:2691176","6","27"
"ESPORTSTMNT03:2635716","8","21"
"ESPORTSTMNT02:2076233","8","7"
"ESPORTSTMNT01:3383128","16","2"
"ESPORTSTMNT03:1121596","7","24"
"ESPORTSTMNT01:3408095","19","7"
"ESPORTSTMNT06:1310115","21","11"
"ESPORTSTMNT04:2210383","5","21"
"ESPORTSTMNT04:1810237","2","15"
"ESPORTSTMNT06:1031270","10","21"
"ESPORTSTMNT06:2773252","20","16"
"ESPORTSTMNT02:1321647","19","18"
"ESPORTSTMNT04:2691249","13","10"
"ESPORTSTMNT02:3043656","14","7"
"ESPORTSTMNT05:3223032","24","7"
"ESPORTSTMNT03:3191766","24","12"
"ESPORTSTMNT02:2660716","8","13"
"ESPORTSTMNT03:3129242","25","8"
"ESPORTSTMNT01:1156544","4","17"
"ESPORTSTMNT01:3309617","6","20"
"ESPORTSTMNT01:1325819","17","8"
"ESPORTSTMNT01:3323441","11","17"
"ESPORTSTMNT04:2665164","8","11"
"ESPORTSTMNT02:3153975","17","0"
"ESPORTSTMNT02:1102215","1","17"
"ESPORTSTMNT03:2795131","15","20"
"ESPORTSTMNT02:2662831","20","8"
"ESPORTSTMNT02:2777714","14","2"
"ESPORTSTMNT04:1560233","17","17"
"ESPORTSTMNT01:3313790","1","15"
"ESPORTSTMNT01:2782842","12","16"
"ESPORTSTMNT02:1094410","25","5"
"ESPORTSTMNT03:1414589","27","7"
"ESPORTSTMNT02:2787891","17","12"
"ESPORTSTMNT03:1433722","10","3"
"ESPORTSTMNT03:2000311","20","15"
"ESPORTSTMNT03:2797606","14","3"
"ESPORTSTMNT02:1721782","11","20"
"ESPORTSTMNT02:2912246","17","6"
"ESPORTSTMNT05:3223294","18","5"
"ESPORTSTMNT06:1720352","3","21"
"ESPORTSTMNT01:3368773","7","12"
"ESPORTSTMNT03:3192436","26","18"
"ESPORTSTMNT03:2785445","20","19"
"ESPORTSTMNT01:2735305","21","9"
"ESPORTSTMNT02:2664788","27","23"
"ESPORTSTMNT03:2890880","20","11"
"ESPORTSTMNT03:1813752","7","20"
"ESPORTSTMNT06:2190589","16","4"
"ESPORTSTMNT02:2556883","10","17"
"ESPORTSTMNT05:3221203","18","7"
"ESPORTSTMNT02:1770137","12","3"
"ESPORTSTMNT03:1092577","6","9"
"ESPORTSTMNT06:1072195","18","13"
"ESPORTSTMNT06:1310518","28","10"
"ESPORTSTMNT01:3416242","15","20"
"ESPORTSTMNT01:2693423","17","10"
"ESPORTSTMNT04:1230688","22","5"
"ESPORTSTMNT03:2653287","10","16"
"ESPORTSTMNT03:2793032","24","4"
"ESPORTSTMNT01:2703952","6","16"
"ESPORTSTMNT01:1295489","26","16"
"ESPORTSTMNT06:2769191","18","11"
"ESPORTSTMNT01:3381038","3","15"
"ESPORTSTMNT02:2674569","9","1"
"ESPORTSTMNT03:1962296","22","6"
"ESPORTSTMNT04:2450315","9","24"
"ESPORTSTMNT03:1441723","16","15"
"ESPORTSTMNT03:2075468","31","3"
"ESPORTSTMNT01:2691080","5","13"
"ESPORTSTMNT02:2840420","14","10"
"ESPORTSTMNT02:2210078","21","6"
"ESPORTSTMNT02:3043245","7","17"
"ESPORTSTMNT01:3402436","20","15"
"ESPORTSTMNT01:3327682","6","15"
"ESPORTSTMNT06:1840850","23","7"
"ESPORTSTMNT03:2799499","5","18"
"ESPORTSTMNT05:3217482","23","8"
"ESPORTSTMNT02:1691978","12","0"
"ESPORTSTMNT02:1695688","16","4"
"ESPORTSTMNT03:3193973","15","12"
"ESPORTSTMNT02:1093323","1","11"
"ESPORTSTMNT03:3122355","14","8"
"ESPORTSTMNT06:1880245","14","13"
"ESPORTSTMNT02:1115847","11","2"
"ESPORTSTMNT02:2073720","24","27"
"ESPORTSTMNT04:970442","18","6"
"ESPORTSTMNT05:1860832","8","14"
"ESPORTSTMNT03:3178793","13","12"
"ESPORTSTMNT03:2052007","19","16"
"ESPORTSTMNT04:1961320","4","20"
"ESPORTSTMNT02:1085840","10","18"
"ESPORTSTMNT01:2149710","26","8"
"ESPORTSTMNT02:3220953","22","4"
"ESPORTSTMNT01:2770671","14","8"
"ESPORTSTMNT06:2531165","17","23"
"ESPORTSTMNT01:3408372","16","26"
"ESPORTSTMNT05:3218265","28","28"
"ESPORTSTMNT03:1825827","22","11"
"ESPORTSTMNT03:3088580","23","13"
"ESPORTSTMNT01:1134136","4","23"
"ESPORTSTMNT03:1133901","7","8"
"ESPORTSTMNT02:1091316","6","16"
"ESPORTSTMNT03:3184919","18","11"
"ESPORTSTMNT01:3408822","25","15"
"ESPORTSTMNT06:2190779","21","17"
"ESPORTSTMNT03:2545269","19","2"
"ESPORTSTMNT02:2972350","19","6"
"ESPORTSTMNT03:1432002","15","8"
"ESPORTSTMNT03:3125900","9","19"
"ESPORTSTMNT06:2820334","10","2"
"ESPORTSTMNT02:1094400","15","6"
"ESPORTSTMNT01:1731468","17","5"
"ESPORTSTMNT05:1860879","14","22"
"ESPORTSTMNT01:2905473","17","23"
"ESPORTSTMNT02:1105206","5","13"
"ESPORTSTMNT01:2915761","31","8"
"ESPORTSTMNT01:2139212","4","9"
"ESPORTSTMNT01:2915136","24","9"
"ESPORTSTMNT02:3144328","30","13"
"ESPORTSTMNT01:3337891","13","8"
"ESPORTSTMNT01:2701277","15","3"
"ESPORTSTMNT02:2664587","8","24"
"ESPORTSTMNT01:1164881","19","7"
"ESPORTSTMNT06:1550007","14","17"
"ESPORTSTMNT06:1310860","23","7"
"ESPORTSTMNT02:1394597","17","12"
"ESPORTSTMNT03:1755552","5","17"
"ESPORTSTMNT03:1412092","21","10"
"ESPORTSTMNT03:1414580","14","24"
"ESPORTSTMNT02:3156106","15","17"
"ESPORTSTMNT05:3222094","31","32"
"ESPORTSTMNT03:2101649","8","4"
"ESPORTSTMNT06:2532310","28","22"
"ESPORTSTMNT01:3368099","17","16"
"ESPORTSTMNT02:1934512","16","14"
"ESPORTSTMNT03:2655439","8","22"
"ESPORTSTMNT06:2818454","3","10"
"ESPORTSTMNT03:3116278","22","11"
"ESPORTSTMNT02:1091262","13","7"
"ESPORTSTMNT03:1342267","19","13"
"ESPORTSTMNT01:3385374","23","13"
"ESPORTSTMNT06:1070378","13","5"
"ESPORTSTMNT03:1811656","12","16"
"ESPORTSTMNT06:2260700","5","20"
"ESPORTSTMNT03:2093887","20","24"
"ESPORTSTMNT03:2789229","18","8"
"ESPORTSTMNT04:970949","7","21"
"ESPORTSTMNT06:1571123","6","15"
"ESPORTSTMNT03:3196421","20","9"
"ESPORTSTMNT05:2941590","7","17"
"ESPORTSTMNT04:2230467","13","24"
"ESPORTSTMNT02:3057859","19","9"
"ESPORTSTMNT02:3217756","11","23"
"ESPORTSTMNT01:2982417","15","5"
"ESPORTSTMNT03:2101711","1","13"
"ESPORTSTMNT02:1690987","10","6"
"ESPORTSTMNT03:3115330","15","9"
"ESPORTSTMNT03:3133219","8","16"
"ESPORTSTMNT03:2799924","19","13"
"ESPORTSTMNT03:2102453","9","24"
"ESPORTSTMNT03:3124078","14","1"
"ESPORTSTMNT03:3098754","2","21"
"ESPORTSTMNT06:1160571","10","14"
"ESPORTSTMNT03:3111606","4","14"
"ESPORTSTMNT02:2660703","19","9"
"ESPORTSTMNT02:3169943","19","3"
"ESPORTSTMNT03:1404931","13","7"
"ESPORTSTMNT05:1530434","5","13"
"ESPORTSTMNT01:2734481","12","15"
"ESPORTSTMNT05:3060547","16","23"
"ESPORTSTMNT03:2632994","19","13"
"ESPORTSTMNT03:1994420","15","4"
"ESPORTSTMNT02:3217042","0","20"
"ESPORTSTMNT02:3139874","1","13"
"ESPORTSTMNT01:3338902","8","18"
"ESPORTSTMNT03:3084614","27","20"
"LPL_B:328370","19","11"
"ESPORTSTMNT04:1490859","21","16"
"ESPORTSTMNT05:2060330","16","4"
"ESPORTSTMNT01:3325624","5","13"
"ESPORTSTMNT01:3091478","25","13"
"ESPORTSTMNT05:3221199","21","9"
"ESPORTSTMNT06:2818439","12","18"
"ESPORTSTMNT03:2569584","9","8"
"ESPORTSTMNT05:1440694","13","20"
"ESPORTSTMNT01:1434800","7","17"
"ESPORTSTMNT01:3321299","20","6"
"ESPORTSTMNT03:3120186","11","11"
"ESPORTSTMNT02:2140706","12","13"
"ESPORTSTMNT03:1442722","15","6"
"ESPORTSTMNT03:1401377","8","22"
"ESPORTSTMNT03:3090270","11","23"
